,职位名称,城市名称,发布时间,薪资范围,经验范围,学历要求,公司名称,公司介绍
67,java开发工程师,天津,16:21,7k-14k,经验1-3年,本科,职引科技,"['软件服务｜咨询,IT技术服务｜咨询,在线教育 / 天使轮 / 15-50人', '电商平台', '数据服务｜咨询', 'MyBatis', 'Linux', '“技术先进,技术栈全面标准”']"
68,Java高级开发工程师（base 深圳）,深圳,16:21,25k-50k,经验3-5年,本科,多点科技,"['内容社区,内容资讯,游戏 / 上市公司 / 50-150人', 'Spring', 'MySQL', '“CEO带队，新业务线，上升空间大”']"
69,主播,杭州,16:20,10k-15k,经验不限,不限,竟虚网络,"['营销服务｜咨询,影视｜动漫,新媒体 / 不需要融资 / 50-150人', 'MCN｜直播平台', '抖音主播', '小红书主播', 'B站主播', '虎牙主播', '“高薪 线上 时间自由”']"
70,包装设计师,上海,16:20,8k-15k,经验1-3年,本科,SNH48,"['新媒体 / C轮 / 150-500人', '电商平台', '消费生活', 'Photoshop', 'Illustrator（AI）', '3Dmax', '“五险一金 周末双休”']"
71,销售代表,武汉,16:20,6k-10k,经验不限,本科,恩家房地产经纪,"['金融,房产家居 / 未融资 / 50-150人', '房地产｜建筑｜物业', '“发展空间大，薪资待遇高，晋升通道透明”']"
72,JAVA工程师,北京,16:20,20k-40k,经验3-5年,本科,民生科技,"['金融业,科技金融 / 不需要融资 / 500-2000人', '科技金融', '金融业', 'Spring', 'Web后端开发', 'Elastic Search', '“致更优秀的你”']"
73,产品经理（东单）,北京,16:20,15k-24k,经验3-5年,本科,京北方,"['IT技术服务｜咨询 / 上市公司 / 2000人以上', '金融业', '数据产品', '“双休不加班”']"
74,体育教练（球类）,上海,16:20,8k-15k,经验不限,大专,花香盛世国际体育,"['教育｜培训 / 未融资 / 500-2000人', '“国内外旅游 系统培训 年轻团队 大牛带队”']"
75,中高级UI设计师,北京,16:21,12k-24k,经验3-5年,本科,北京指南针,"['科技金融 / 上市公司 / 500-2000人', '科技金融', '移动端/APP设计', '“五险一金 发展空间大 国内外旅游 上市公司”']"
76,大数据开发工程师,武汉,16:21,18k-35k,经验1-3年,本科,青藤云安全,"['信息安全 / C轮 / 500-2000人', '信息安全', 'JAVA', 'Python', '“五险一金、饭补”']"
