,职位名称,城市名称,发布时间,薪资范围,经验范围,学历要求,公司名称,公司介绍
13,用户服务专员（客服专员 base 深圳）,深圳,16:21,5k-7k,经验不限,大专,多点科技,"['内容社区,内容资讯,游戏 / 上市公司 / 50-150人', '游戏', '“创新业务、CEO带队、发展前景好”']"
14,游戏主播,重庆,16:20,10k-15k,经验不限,不限,竟虚网络,"['营销服务｜咨询,影视｜动漫,新媒体 / 不需要融资 / 50-150人', '游戏电竞主播', '“高薪运营摄影团队”']"
15,UED视觉设计师,深圳,16:21,15k-25k,经验3-5年,本科,中电金信,"['IT技术服务｜咨询,软件服务｜咨询 / 不需要融资 / 2000人以上', '金融业', '科技金融', 'C4D', '品牌营销设计', '“六险一金、年度体检、国企”']"
16,ios开发工程师,北京,16:21,10k-20k,经验1-3年,本科,北京指南针,"['科技金融 / 上市公司 / 500-2000人', '科技金融', '“补充医疗 国内外旅游 带薪年假”']"
17,高级/资深C++开发工程师（Windows/Linux）,北京,16:21,20k-40k,经验3-5年,本科,青藤云安全,"['信息安全 / C轮 / 500-2000人', '信息安全', '“全额五险一金、餐补”']"
18,ui设计师-资深,北京,16:21,15k-22k,经验3-5年,本科,全速创想数字科技（杭州）有限公司,"['IT技术服务｜咨询 / 不需要融资 / 500-2000人', '电商平台', '移动端/APP设计', '“年终奖金 双休五险一金、带薪休假”']"
19,大数据运维工程师/专家,深圳,16:21,25k-50k,经验3-5年,本科,阿里巴巴集团,"['电商平台,人工智能服务 / 上市公司 / 2000人以上', '电商平台', '新零售', 'Hadoop', 'Linux', 'Unix', '“大平台、发展前景、福利好”']"
20,nlp自然语言处理工程师,合肥,16:21,10k-20k,经验1-3年,硕士,视尔信息,"['移动互联网,人工智能 / 天使轮 / 50-150人', '人工智能服务', '语义理解', '“老板nice 公司重点项目 7.5h+双休”']"
21,直播运营（抖音矩阵） (MJ000075),北京,16:21,12k-20k,经验1-3年,本科,红布林,"['电商平台 / B轮 / 150-500人', '电商平台', 'TO C', '“团队nice”']"
22,亚马逊运营,深圳,16:21,8k-16k,经验1-3年,本科,众创三维,"['新零售,营销服务｜咨询 / 未融资 / 150-500人', '电商平台', '电商运营', '“年终奖、年度调薪、五险一金”']"
23,中级java开发工程师,北京,16:21,15k-28k,经验3-5年,本科,华图在线,"['在线教育 / D轮及以上 / 150-500人', '在线教育', 'Spring', 'MyBatis', '“领导nice，团队氛围好，发展空间大”']"
24,需求分析师,深圳,16:21,14k-20k,经验3-5年,本科,汇合,"['科技金融 / 不需要融资 / 2000人以上', '科技金融', '基础业务产品', 'TO B', 'TO C', '“双休，加班费，过节费”']"
25,社群运营负责人,天津,16:21,6k-12k,经验不限,本科,职引科技,"['软件服务｜咨询,IT技术服务｜咨询,在线教育 / 天使轮 / 15-50人', '软件服务｜咨询', '数据服务｜咨询', 'TO C', '用户运营', '内容运营', '“发展空间”']"
26,法务专员,北京,16:21,8k-12k,经验1-3年,本科,多点科技,"['内容社区,内容资讯,游戏 / 上市公司 / 50-150人', '商业｜交易产品', '海外用户', '互联网广告', '支付产品', '金融产品', '“业务成熟稳定，管理规范”']"
27,小学老师,杭州,16:20,13k-18k,经验5-10年,大专,竟虚网络,"['营销服务｜咨询,影视｜动漫,新媒体 / 不需要融资 / 50-150人', '游戏', '线下一对一教学', '“高薪”']"
28,电商运营经理,上海,16:20,15k-20k,经验3-5年,本科,SNH48,"['新媒体 / C轮 / 150-500人', '电商平台', '内容运营', '产品运营', '“五险一金 餐补”']"
29,游戏运营,广州,16:20,10k-18k,经验3-5年,本科,广州芭乐信息技术有限公司,"['游戏 / 不需要融资 / 15-50人', '绩效奖金', '弹性工作', '节日礼物', '帅哥多', '“福利待遇、发展前景”']"
30,c++开发工程师,武汉,16:21,15k-25k,经验3-5年,本科,中电金信,"['IT技术服务｜咨询,软件服务｜咨询 / 不需要融资 / 2000人以上', '科技金融', '金融业', 'Windows', 'TCP/IP', 'HTTP', '“国企、六险一金、年度体检、不加班”']"
31,网络工程师,北京,16:21,10k-15k,经验1-3年,本科,北京指南针,"['科技金融 / 上市公司 / 500-2000人', '科技金融', 'MySQL', 'Windows', 'Linux', 'Zabbix', '“成长空间大 发展前景好 带薪年假”']"
32,高级golang开发工程师,北京,16:21,25k-45k,经验3-5年,本科,青藤云安全,"['信息安全 / C轮 / 500-2000人', '信息安全', 'Linux', 'MySQL', 'docker', '云计算', '“五险一金、饭补、交通补、住房补”']"
33,前端工程师,合肥,16:21,8k-13k,经验1-3年,大专,视尔信息,"['移动互联网,人工智能 / 天使轮 / 50-150人', '人工智能服务', 'React', 'Vue', '“老板nice 公司重点项目 7.5h+双休”']"
34,直播运营主管 (MJ000081),北京,16:21,25k-40k,经验3-5年,本科,红布林,"['电商平台 / B轮 / 150-500人', '电商平台', 'TO C', '用户运营', '内容运营', '产品运营', '“团队nice”']"
35,亚马逊运营,深圳,16:21,8k-16k,经验1-3年,本科,众创三维,"['新零售,营销服务｜咨询 / 未融资 / 150-500人', '电商平台', '电商运营', '“年终奖、年度调薪、五险一金”']"
36,前端开发工程师,北京,16:21,12k-24k,经验1-3年,大专,华图在线,"['在线教育 / D轮及以上 / 150-500人', '在线教育', 'Html5', 'CSS', 'Vue', '“领导nice，团队氛围好，发展空间大”']"
37,java开发工程师,成都,16:21,10k-20k,经验3-5年,本科,汇合,"['科技金融 / 不需要融资 / 2000人以上', '科技金融', '电商平台', 'JavaScript', 'Spring', 'ORACLE', '“六险一金”']"
38,android开发工程师,天津,16:21,8k-15k,经验1-3年,本科,职引科技,"['软件服务｜咨询,IT技术服务｜咨询,在线教育 / 天使轮 / 15-50人', '软件服务｜咨询', 'IT技术服务｜咨询', 'React', 'MySQL', '“发展空间大,独立性强”']"
39,招聘经理(base 深圳）,深圳,16:21,20k-30k,经验3-5年,本科,多点科技,"['内容社区,内容资讯,游戏 / 上市公司 / 50-150人', '互联网TO C产品', '产研招聘', '“CEO带队 新业务板块 发展空间大”']"
40,家教,杭州,16:20,13k-18k,经验5-10年,大专,竟虚网络,"['营销服务｜咨询,影视｜动漫,新媒体 / 不需要融资 / 50-150人', '游戏', '在线一对一教学', '“高薪”']"
